,minute,team,xG,player,result
0,1,Southampton,0.1054020971,Nathan Redmond,BlockedShot
1,2,Southampton,0.1363195628,Jan Bednarek,BlockedShot
2,2,Southampton,0.03721703216,Oriol Romeu,BlockedShot
3,2,Southampton,0.02140427381,James Ward-Prowse,BlockedShot
4,3,Southampton,0.06636335701,Pierre-Emile Højbjerg,BlockedShot
5,9,Southampton,0.3638263643,Nathan Redmond,SavedShot
6,11,Southampton,0.3540951908,Shane Long,Goal
7,17,Southampton,0.03627388924,Nathan Redmond,MissedShots
8,21,Southampton,0.07680370659,Danny Ings,MissedShots
9,23,Southampton,0.3803780079,Shane Long,SavedShot
10,23,Southampton,0.6089562178,Shane Long,ShotOnPost
11,47,Southampton,0.02763594314,Ryan Bertrand,MissedShots
12,49,Southampton,0.0264540147,Nathan Redmond,MissedShots
13,54,Southampton,0.03390794992,James Ward-Prowse,Goal
14,57,Southampton,0.4294915795,Danny Ings,SavedShot
15,58,Southampton,0.02199459635,Danny Ings,SavedShot
16,60,Southampton,0.05061998218,Matt Targett,BlockedShot
17,60,Southampton,0.0534969829,Nathan Redmond,MissedShots
18,66,Southampton,0.08668991178,Matt Targett,Goal
19,71,Southampton,0.0117352698,Pierre-Emile Højbjerg,MissedShots
20,79,Southampton,0.02327353321,Nathan Redmond,MissedShots
21,81,Southampton,0.01817214489,Pierre-Emile Højbjerg,MissedShots
22,19,Bournemouth,0.5160688758,Dan Gosling,Goal
23,31,Bournemouth,0.0163068343,David Brooks,SavedShot
24,31,Bournemouth,0.5154676437,Callum Wilson,Goal
25,51,Bournemouth,0.02564789169,Jack Simpson,MissedShots
26,72,Bournemouth,0.03494173661,Ryan Fraser,MissedShots
27,82,Bournemouth,0.01740727946,Joshua King,MissedShots
28,85,Bournemouth,0.9731016159,Callum Wilson,Goal
29,87,Bournemouth,0.5066826344,Callum Wilson,SavedShot
30,94,Bournemouth,0.02492387407,Joshua King,MissedShots
